State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Athena Middle School",950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,47,0,23,0,1,1,3,0,7,0,0,0,0,0,2,0,1,4
"Autumn Lane Elementary School",476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brookside Elementary School Campus",299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Buckman Heights Elementary School",312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Hill Elementary School",413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"English Village Elementary School",484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holmes Road Elementary School",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Kirk Road Elementary School",336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"Lakeshore Elementary School",376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
"Longridge School",847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,23,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
"Odyssey Academy",797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,27,0,10,0,0,0,0,0,5,0,0,0,0,0,3,0,0,5
"Olympia High School",1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,56,0,81,0,0,1,8,0,7,0,1,0,0,0,5,7,1,11
"Paddy Hill Elementary School",366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parkland Elementary School Campus",325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Pine Brook Elementary School",592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
"West Ridge Ementary School",416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilton High School",1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,0,0,1,0,2,2,0,0,0,0,1,2,0,15
"Merton Williams Middle School",704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,6,0,0,0,0,0,0,1,0,10
"Northwood Elementary School",852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Quest Elementary School",407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Village Elementary School",974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honeoye Falls-Lima Middle School",663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,3,0,0,0,0,0,1,3,1,3
"Honeoye Falls-Lima Senior High School",887,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8,0,5,0,0,0,1,0,0,1,0,0,0,0,2,3,3,8
"Lima Elementary School",346,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manor Intermediate School",746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenio Maria De Hostos Charter School",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"Genesee Community Charter School At The Rochester Museum",212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"True North Rochester Preparatory Charter School (The)",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"Urban Choice Charter School",264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"Bay Trail Middle School",1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cobbles Elementary School",498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Harris Hill Elementary School",514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Indian Landing Elementary School",454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penfield Senior High School",1632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1,1,27,0,6,0,0,0,2,0,8,17,0,0,0,0,6,10,4,64
"Scribner Road Elementary School",515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Allen Creek School",360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Barker Road Middle School",733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8
"Calkins Road Middle School",726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,12
"Jefferson Road School",444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mendon Center Elementary School",778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park Road School",479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Pittsford Sutherland High School",963,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,4,0,2,1,0,0,0,0,0,3,19,11
"Pittsford-Mendon High School",986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,3,10
"Thornell Road School",520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Benjamin Franklin Montessori School",156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Bioscience & Health Career Hs At Franklin",588,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,1,0,91,0,120,0,0,0,4,0,4,0,3,0,1,7,1,6,0,188
"Charlotte High School",1030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,76,0,23,0,0,0,0,0,2,0,1,0,0,6,2,0,0,134
"Dr Freddie Thomas High School",903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,37,0,0,0,0,0,2,0,0,0,0,4,0,0,0,171
"East High School",1901,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,0,69,0,13,0,0,0,6,0,4,0,2,0,0,3,15,12,2,1335
"Frederick Douglass Preparatory School",965,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,18,0,56,0,50,0,0,0,0,0,6,0,0,0,0,3,2,4,1,316
"Global Media Arts Hs At Franklin",547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,1,15,0,4,0,0,0,0,0,3,0,0,0,0,7,0,3,0,334
"International Finance & Economic Development Hs At Franklin",536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,21,0,7,0,0,0,1,0,1,0,0,0,0,2,3,5,3,345
"James Monroe High School",1292,0,0,0,0,0,1,0,3,0,3,1,0,0,0,16,0,2,0,126,0,35,0,0,0,1,0,0,0,0,0,1,2,4,3,1,186
"John Marshall High School",1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83
"Joseph C Wilson Magnet High School",1881,0,0,0,0,0,3,0,0,0,1,2,0,0,0,13,1,3,1,143,0,152,0,0,0,2,0,3,0,0,0,0,6,8,8,0,634
"Northeast College Preparatory High School",156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,48
"Northwest College Preparatory High School",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"School 12-James P B Duffy",711,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,17,0,14,0,0,0,1,0,0,0,0,0,0,0,3,0,0,24
"School 14-Chester Dewey",371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"School 15-Children'S School Of Rochester (The)",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"School 16-John Walton Spencer",489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,29,0,9,0,0,0,0,0,0,1,0,0,0,0,4,0,0,38
"School 17-Enrico Fermi",493,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,4,0,45,0,4,0,0,0,0,0,0,0,0,0,0,3,1,1,0,90
"School 19-Dr Charles T Lunsford",336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,48
"School 1-Martin B Anderson",347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
"School 20-Henry Lomb School",323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"School 22-Lincoln School",495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,66
"School 23-Francis Parker",341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"School 25-Nathaniel Hawthorne",344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"School 28-Henry Hudson",639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,39,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,73
"School 29-Adlai E Stevenson",438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"School 2-Clara Barton",332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"School 30-General Elwell S Otis",434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14
"School 33-Audubon",1126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,175
"School 34-Dr Louis A Cerulli",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"School 35-Pinnacle",451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,9,0,20,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,6
"School 36-Henry W Longfellow",387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"School 39-Andrew J Townson",615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,83
"School 3-Nathaniel Rochester",686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,71,0,17,0,0,0,0,0,0,0,0,0,0,0,3,4,0,169
"School 41-Kodak Park",553,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42,1,7,0,0,0,2,0,0,0,1,0,0,1,0,0,0,28
"School 42-Abelard Reynolds",487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"School 43-Theodore Roosevelt",585,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,8,2,23,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
