State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Holmes Elementary School",415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,18
"Kenmore East Senior High School",1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,10,0,0,0,0,0,0,7,0,0,0,0,1,2,11,178
"Kenmore Middle School",650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,31,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,36
"Kenmore West Senior High School",1748,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,47,0,17,0,0,0,0,0,2,5,0,0,0,0,5,9,4,60
"Theodore Roosevelt Elementary School",408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Thomas A Edison Elementary School",506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas Jefferson Elementary School",303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lackawanna High School",700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,417
"Lackawanna Middle School",319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,17,0,0,0,0,0,1,1,0,0,0,0,3,1,0,234
"Martin Road Elementary School",515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,17,0,0,0,5,0,1,0,0,0,0,0,2,0,0,112
"Truman Elementary School",518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,7,0,6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
"Central Avenue Elementary School",237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Como Park Elementary School",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Court Street Elementary School",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hillview Elementary School",398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John A Sciole Elementary School",401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Lancaster High School",2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,0,37,0,0,0,1,0,4,0,0,0,0,1,0,23,6,732
"Lancaster Middle School",968,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60,0,0,0,1,0,5,0,0,0,0,0,0,1,0,47
"William Street School",1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buffalo Academy Of Science Charter School",339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,2,0,2,0,0,0,0,0,1,2,0,11
"Buffalo United Charter School",479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Charter School For Applied Technologies",1402,0,0,0,0,0,7,0,0,0,1,0,0,0,2,7,0,0,10,175,2,31,0,0,0,0,0,12,2,0,1,0,0,7,0,0,109
"Community Charter School",292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,2,0,29,0,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20
"Elmwood Village Charter School",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25
"Enterprise Charter School",553,0,0,0,0,0,5,0,0,0,0,0,0,0,4,9,4,4,0,65,0,35,0,0,0,0,0,0,1,0,0,1,0,2,0,0,39
"Global Concepts Charter School",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King Center Charter School",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oracle Charter School",244,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,13,1,2,0,0,0,13,0,9,0,3,0,0,0,3,0,0,0
"Pinnacle Charter School",405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48
"Sankofa Charter School",248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,47,0,21,0,0,0,3,0,2,0,0,0,0,0,0,0,0,121
"South Buffalo Charter School",640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,33,0,11,0,0,0,1,0,1,2,0,0,0,0,0,0,0,65
"Tapestry Charter School",269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Western New York Maritime Charter School",317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,27,0,18,0,0,0,16,0,3,0,0,0,0,0,2,0,1,124
"Westminster Community Charter School",518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Collins Elementary School",361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"North Collins Junior-Senior High School",349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,7,0,0,0,1,0,2,0,0,0,0,0,2,5,2,11
"Eggert Road Elementary School",696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Ellicott Road Elementary School",666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orchard Park High School",1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,8,0,3,0,0,0,0,0,1,18,12,0
"Orchard Park Middle School",1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,4,66
"South Davis Elementary School",417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Windom Elementary School",459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colden Elementary School",242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Griffith Institute High School",736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,0,3,0,2,0,1,0,0,0,6,4,1,9
"Griffith Institute Middle School",525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,0,0,0,0,0,2,0,0,0,0,0,2,3,1,7
"Springville Elementary School",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Glendale Elementary School",444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heritage Heights Elementary School",309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Maplemere Elementary School",474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Sweet Home Middle School",905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,50,0,13,0,0,0,0,0,6,1,1,0,0,0,0,4,0,210
"Sweet Home Senior High School",1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,18,0,6,0,0,0,1,0,6,1,2,0,0,0,3,11,2,68
"Willow Ridge Elementary School",357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Fletcher Elementary School",159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highland Elementary School",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullen Elementary School",293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Riverview Elementary School",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tonawanda Middle School",506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0
"Tonawanda Senior High School",752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,27,0,2,0,0,0,0,0,4,0,1,0,0,0,2,2,0,1
"Allendale Elementary School",546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alternative Learning Center",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,8,0,0,0,2,0,2,0,0,0,0,0,0,3,0,19
"Clinton Elementary School",541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"East Elementary School",458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Middle School",510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"Northwood Elementary School",586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Potters Road School",557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"West Elementary School",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"West Middle School",703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,9
"West Seneca East Senior High School",1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,0,0,2,0,6,4,0,0,0,0,0,2,4,5
"West Seneca West Senior High School",1454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,36,0,17,0,0,0,2,0,6,0,1,0,0,0,4,5,1,73
"Winchester Elementary School",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Casey Middle School",823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0
"Country Parkway Elementary School",588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Dodge Elementary School",620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Forest Elementary School",568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heim Elementary School",670,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Heim Middle School",624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Maple East Elementary School",662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maple West Elementary School",628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mill Middle School",914,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
"Transit Middle School",990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3
"Williamsville East High School",1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,4,0,5,1,0,0,0,1,0,5,9,41
"Williamsville North High School",1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,2,0,0,0,5,0,2,0,1,0,0,2,0,12,17,52
"Williamsville South High School",1002,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6,13,2
"Crown Point Central School",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Elizabethtown-Lewis Central School",356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
"Keene Central School",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"Lake Placid Elementary School",331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Placid Junior-Senior High School",470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
"Minerva Central School",133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Moriah Elementary School",423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Moriah Junior-Senior High School",347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9
"Newcomb Central School",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Schroon Lake Central School",269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Ticonderoga Elementary School",387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
"Ticonderoga Middle School",221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
"Ticonderoga Senior High School",346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
"Westport Central School",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"Willsboro Central School",356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,17,0,0,0,2,0,1,0,0,0,0,0,0,0,2,87
"Brushton Grade School",441,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,0,85,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0
"Brushton Moira High School",408,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,1,0,32,0,51,0,0,0,1,0,0,0,0,0,0,0,5,0,0,32
"Chateaugay Elementary School",282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chateaugay High School",332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,4,0,0,0,6,0,2,0,0,0,0,0,0,1,1,65
"Davis Elementary School",560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flanders Elementary School",241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franklin Academy High School",810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,11,0,3,0,0,0,1,0,0,0,0,0,0,3,0,2,1,34
"Malone Middle School",588,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,25,0,37,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100
"Saint Joseph'S Elementary School",260,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Saint Regis Falls Central School",309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,53,0,22,0,0,0,2,0,0,1,1,0,0,0,1,2,0,5
"Saint Regis Mohawk School",506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,1,0,0,0,0,0,3,0,0,138
"Salmon River Elementary School",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,0,35
"Salmon River Junior-Senior High School",694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,12,0,7,0,0,0,0,0,0,2,0,0
"Bloomingdale School",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Clear School",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Colby School",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petrova Elementary School",309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saranac Lake Middle School",403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Saranac Lake Senior High School",550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,6,0,16,0,0,0,0,1,0,0,17,9
"L P Quinn Elementary School",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Tupper Lake Middle-High School",520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,3,16
"Broadalbin-Perth High School",690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,12,0,0,0,0,0,6,1,0,0,0,0,1,7,1,5
"Broadalbin-Perth Intermediate School",392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broadalbin-Perth Middle School",336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broadalbin-Perth Primary School",569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Boulevard School",587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gloversville High School",1020,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,582,0,51,0,0,0,2,0,3,3,1,0,0,0,0,9,5,26
"Gloversville Middle School",701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,22,0,1,0,2,0,7,0,4,0,0,0,2,2,0,210
"Kingsborough School",264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcnab-Meco School",456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park Terrace School",295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Glebe Street Elementary School",279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jansen Avenue Elementary School",216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Johnstown Senior High School",645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,11,0,0,0,8,0,6,0,0,0,0,0,0,0,7,28
"Knox Junior High School",294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"Pleasant Avenue School",291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Warren Street School",273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10
"Mayfield Elementary School",566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mayfield High School",549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,22,0,34,0,0,0,3,0,4,1,0,0,0,0,4,5,0,244
"Northville Elementary School",208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"Northville High School",336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,1,0,2,0,0,0,0,0,1,2,1,48
"Oppenheim-Ephratah Central School",410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,10,0,0,0,10,0,3,0,0,0,0,0,1,0,3,29
"Wheelerville School",156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Elementary School",382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Alexander Middle School-High School",599,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,2,0,0,0,0,0,0,3,0,0,0,0,3,1,1,2
"Batavia High School",789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,17,0,40,0,0,0,2,0,4,0,0,0,1,0,0,5,3,132
"Batavia Middle School",541,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,52,0,38,0,0,0,3,0,2,0,0,0,0,0,1,3,0,28
"Jackson School",336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Kennedy School",354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"Robert Morris School",355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byron-Bergen Elementary School",411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byron-Bergen High School",447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,17,0,0,0,1,0,0,1,0,0,0,0,0,7,0,51
"Byron-Bergen Middle School",335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,3,0,0,1,0,0,0,0,0,0,0,32
"Elba Elementary School",255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"Elba Junior-Senior High School",288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,15
"Le Roy Junior-Senior High School",693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,1,0,2,1,0,0,0,0,0,8,0,3
"Wolcott Street School",691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Oakfield-Alabama Elementary School",414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
