"County Name","District Name","School Name","BEDS CODE",Enrollment,"School Type","Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
MONROE,"Greece Central School District","Buckman Heights Elementary School",260501060012,312,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Greece Central School District","Craig Hill Elementary School",260501060015,413,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONROE,"Greece Central School District","English Village Elementary School",260501060006,484,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Greece Central School District","Holmes Road Elementary School",260501060016,422,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONROE,"Greece Central School District","Kirk Road Elementary School",260501060018,336,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
MONROE,"Greece Central School District","Lakeshore Elementary School",260501060011,376,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
MONROE,"Greece Central School District","Longridge School",260501060002,847,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,23,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
MONROE,"Greece Central School District","Odyssey Academy",260501060013,797,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,27,0,10,0,0,0,0,0,5,0,0,0,0,0,3,0,0,5
MONROE,"Greece Central School District","Olympia High School",260501060008,1432,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,56,0,81,0,0,1,8,0,7,0,1,0,0,0,5,7,1,11
MONROE,"Greece Central School District","Paddy Hill Elementary School",260501060009,366,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
